c_setting,epsilon_setting,cv_scores
7.0,3.5,-31.01
7.0,3.51,-31.01
7.0,3.5199999999999996,-31.02
7.0,3.5299999999999994,-31.04
7.0,3.539999999999999,-31.05
7.0,3.549999999999999,-31.05
7.0,3.5599999999999987,-31.05
7.0,3.5699999999999985,-31.06
7.0,3.5799999999999983,-31.08
7.0,3.589999999999998,-31.08
7.0,3.599999999999998,-31.08
7.0,3.6099999999999977,-31.07
7.0,3.6199999999999974,-31.07
7.0,3.6299999999999972,-31.06
7.0,3.639999999999997,-31.07
7.0,3.649999999999997,-31.07
7.0,3.6599999999999966,-31.07
7.0,3.6699999999999964,-31.08
7.0,3.679999999999996,-31.09
7.0,3.689999999999996,-31.09
7.0,3.6999999999999957,-31.08
7.0,3.7099999999999955,-31.07
7.0,3.7199999999999953,-31.05
7.0,3.729999999999995,-31.04
7.0,3.739999999999995,-31.04
7.0,3.7499999999999947,-31.03
7.0,3.7599999999999945,-31.02
7.0,3.7699999999999942,-30.98
7.0,3.779999999999994,-30.95
7.0,3.789999999999994,-30.93
7.0,3.7999999999999936,-30.93
7.0,3.8099999999999934,-30.93
7.0,3.819999999999993,-30.92
7.0,3.829999999999993,-30.9
7.0,3.8399999999999928,-30.9
7.0,3.8499999999999925,-30.93
7.0,3.8599999999999923,-30.95
7.0,3.869999999999992,-30.96
7.0,3.879999999999992,-30.97
7.0,3.8899999999999917,-30.97
7.0,3.8999999999999915,-30.97
7.0,3.9099999999999913,-30.98
7.0,3.919999999999991,-31.0
7.0,3.929999999999991,-31.02
7.0,3.9399999999999906,-31.02
7.0,3.9499999999999904,-31.02
7.0,3.95999999999999,-31.03
7.0,3.96999999999999,-31.05
7.0,3.9799999999999898,-31.05
7.0,3.9899999999999896,-31.05
7.0,3.9999999999999893,-31.06
7.0,4.009999999999989,-31.06
7.0,4.019999999999989,-31.06
7.0,4.029999999999989,-31.07
7.0,4.0399999999999885,-31.07
7.0,4.049999999999988,-31.08
7.0,4.059999999999988,-31.1
7.0,4.069999999999988,-31.11
7.0,4.079999999999988,-31.13
7.0,4.089999999999987,-31.14
7.0,4.099999999999987,-31.14
7.0,4.109999999999987,-31.15
7.0,4.119999999999987,-31.16
7.0,4.129999999999987,-31.17
7.0,4.139999999999986,-31.18
7.0,4.149999999999986,-31.17
7.0,4.159999999999986,-31.17
7.0,4.169999999999986,-31.15
7.0,4.1799999999999855,-31.15
7.0,4.189999999999985,-31.14
7.0,4.199999999999985,-31.13
7.0,4.209999999999985,-31.12
7.0,4.219999999999985,-31.11
7.0,4.229999999999984,-31.11
7.0,4.239999999999984,-31.1
7.0,4.249999999999984,-31.09
7.0,4.259999999999984,-31.06
7.0,4.269999999999984,-31.04
7.0,4.279999999999983,-31.02
7.0,4.289999999999983,-31.0
7.0,4.299999999999983,-31.01
7.0,4.309999999999983,-31.0
7.0,4.3199999999999825,-30.95
7.0,4.329999999999982,-30.92
7.0,4.339999999999982,-30.89
7.0,4.349999999999982,-30.9
7.0,4.359999999999982,-30.9
7.0,4.3699999999999815,-30.91
7.0,4.379999999999981,-30.92
7.0,4.389999999999981,-30.91
7.0,4.399999999999981,-30.92
7.0,4.409999999999981,-30.93
7.0,4.41999999999998,-30.93
7.0,4.42999999999998,-30.92
7.0,4.43999999999998,-30.9
7.0,4.44999999999998,-30.88
7.0,4.4599999999999795,-30.86
7.0,4.469999999999979,-30.83
7.0,4.479999999999979,-30.78
7.0,4.489999999999979,-30.73
7.0,4.499999999999979,-30.72
7.0,4.5099999999999785,-30.72
7.0,4.519999999999978,-30.71
7.0,4.529999999999978,-30.69
7.0,4.539999999999978,-30.67
7.0,4.549999999999978,-30.66
7.0,4.559999999999977,-30.64
7.0,4.569999999999977,-30.64
7.0,4.579999999999977,-30.63
7.0,4.589999999999977,-30.61
7.0,4.5999999999999766,-30.59
7.0,4.609999999999976,-30.58
7.0,4.619999999999976,-30.57
7.0,4.629999999999976,-30.56
7.0,4.639999999999976,-30.55
7.0,4.6499999999999755,-30.55
7.0,4.659999999999975,-30.55
7.0,4.669999999999975,-30.54
7.0,4.679999999999975,-30.55
7.0,4.689999999999975,-30.56
7.0,4.699999999999974,-30.55
7.0,4.709999999999974,-30.54
7.0,4.719999999999974,-30.54
7.0,4.729999999999974,-30.59
7.0,4.739999999999974,-30.61
7.0,4.749999999999973,-30.64
7.0,4.759999999999973,-30.63
7.0,4.769999999999973,-30.62
7.0,4.779999999999973,-30.6
7.0,4.7899999999999725,-30.59
7.0,4.799999999999972,-30.58
7.0,4.809999999999972,-30.57
7.0,4.819999999999972,-30.56
7.0,4.829999999999972,-30.56
7.0,4.839999999999971,-30.56
7.0,4.849999999999971,-30.55
7.0,4.859999999999971,-30.55
7.0,4.869999999999971,-30.56
7.0,4.879999999999971,-30.56
7.0,4.88999999999997,-30.57
