c_setting,epsilon_setting,cv_scores
7.0,0.01,-33.25
7.0,0.02,-33.24
7.0,0.03,-33.21
7.0,0.04,-33.19
7.0,0.05,-33.17
7.0,0.060000000000000005,-33.14
7.0,0.06999999999999999,-33.11
7.0,0.08,-33.09
7.0,0.09,-33.07
7.0,0.09999999999999999,-33.04
7.0,0.11,-33.03
7.0,0.12,-33.01
7.0,0.13,-33.01
7.0,0.14,-33.01
7.0,0.15000000000000002,-32.98
7.0,0.16,-32.95
7.0,0.17,-32.94
7.0,0.18000000000000002,-32.93
7.0,0.19,-32.92
7.0,0.2,-32.9
7.0,0.21000000000000002,-32.88
7.0,0.22,-32.87
7.0,0.23,-32.86
7.0,0.24000000000000002,-32.86
7.0,0.25,-32.84
7.0,0.26,-32.83
7.0,0.27,-32.81
7.0,0.28,-32.82
7.0,0.29000000000000004,-32.82
7.0,0.3,-32.82
7.0,0.31,-32.82
7.0,0.32,-32.82
7.0,0.33,-32.8
7.0,0.34,-32.77
7.0,0.35000000000000003,-32.77
7.0,0.36000000000000004,-32.77
7.0,0.37,-32.77
7.0,0.38,-32.77
7.0,0.39,-32.75
7.0,0.4,-32.75
7.0,0.41000000000000003,-32.75
7.0,0.42000000000000004,-32.75
7.0,0.43,-32.75
7.0,0.44,-32.73
7.0,0.45,-32.73
7.0,0.46,-32.75
7.0,0.47000000000000003,-32.78
7.0,0.48000000000000004,-32.77
7.0,0.49,-32.76
7.0,0.5,-32.76
7.0,0.51,-32.77
7.0,0.52,-32.76
7.0,0.53,-32.76
7.0,0.54,-32.76
7.0,0.55,-32.76
7.0,0.56,-32.74
7.0,0.5700000000000001,-32.72
7.0,0.5800000000000001,-32.72
7.0,0.59,-32.73
7.0,0.6,-32.73
7.0,0.61,-32.72
7.0,0.62,-32.71
7.0,0.63,-32.71
7.0,0.64,-32.72
7.0,0.65,-32.72
7.0,0.66,-32.73
7.0,0.67,-32.74
7.0,0.68,-32.74
7.0,0.6900000000000001,-32.74
7.0,0.7000000000000001,-32.76
7.0,0.7100000000000001,-32.76
7.0,0.72,-32.76
7.0,0.73,-32.75
7.0,0.74,-32.74
7.0,0.75,-32.72
7.0,0.76,-32.72
7.0,0.77,-32.72
7.0,0.78,-32.7
7.0,0.79,-32.7
7.0,0.8,-32.69
7.0,0.81,-32.67
7.0,0.8200000000000001,-32.7
7.0,0.8300000000000001,-32.69
7.0,0.8400000000000001,-32.67
7.0,0.85,-32.67
7.0,0.86,-32.65
7.0,0.87,-32.66
7.0,0.88,-32.67
7.0,0.89,-32.66
7.0,0.9,-32.65
7.0,0.91,-32.62
7.0,0.92,-32.61
7.0,0.93,-32.55
7.0,0.9400000000000001,-32.52
7.0,0.9500000000000001,-32.49
7.0,0.9600000000000001,-32.49
7.0,0.97,-32.48
7.0,0.98,-32.47
7.0,0.99,-32.47
7.0,1.0,-32.47
7.0,1.01,-32.49
7.0,1.02,-32.5
7.0,1.03,-32.5
7.0,1.04,-32.5
7.0,1.05,-32.53
7.0,1.06,-32.53
7.0,1.07,-32.52
7.0,1.08,-32.54
7.0,1.09,-32.53
7.0,1.1,-32.53
7.0,1.11,-32.53
7.0,1.12,-32.56
7.0,1.1300000000000001,-32.58
7.0,1.1400000000000001,-32.6
7.0,1.1500000000000001,-32.62
7.0,1.1600000000000001,-32.64
7.0,1.17,-32.63
7.0,1.18,-32.64
7.0,1.19,-32.65
7.0,1.2,-32.65
7.0,1.21,-32.64
7.0,1.22,-32.63
7.0,1.23,-32.61
7.0,1.24,-32.59
7.0,1.25,-32.58
7.0,1.26,-32.59
7.0,1.27,-32.6
7.0,1.28,-32.61
7.0,1.29,-32.6
7.0,1.3,-32.59
7.0,1.31,-32.56
7.0,1.32,-32.55
7.0,1.33,-32.54
7.0,1.34,-32.51
7.0,1.35,-32.48
7.0,1.36,-32.45
7.0,1.37,-32.44
7.0,1.3800000000000001,-32.42
7.0,1.3900000000000001,-32.42
7.0,1.4000000000000001,-32.4
7.0,1.4100000000000001,-32.4
7.0,1.42,-32.37
7.0,1.43,-32.38
7.0,1.44,-32.37
7.0,1.45,-32.35
7.0,1.46,-32.34
7.0,1.47,-32.3
7.0,1.48,-32.27
7.0,1.49,-32.23
7.0,1.5,-32.2
7.0,1.51,-32.19
7.0,1.52,-32.17
7.0,1.53,-32.13
7.0,1.54,-32.11
7.0,1.55,-32.08
7.0,1.56,-32.07
7.0,1.57,-32.05
7.0,1.58,-32.02
7.0,1.59,-32.01
7.0,1.6,-31.99
7.0,1.61,-31.99
7.0,1.62,-31.97
7.0,1.6300000000000001,-31.96
7.0,1.6400000000000001,-31.96
7.0,1.6500000000000001,-31.96
7.0,1.6600000000000001,-31.99
7.0,1.6700000000000002,-31.99
7.0,1.68,-31.99
7.0,1.69,-31.98
7.0,1.7,-31.97
7.0,1.71,-31.97
7.0,1.72,-31.94
7.0,1.73,-31.92
7.0,1.74,-31.93
7.0,1.75,-31.92
7.0,1.76,-31.91
7.0,1.77,-31.91
7.0,1.78,-31.91
7.0,1.79,-31.9
7.0,1.8,-31.92
7.0,1.81,-31.91
7.0,1.82,-31.89
7.0,1.83,-31.88
7.0,1.84,-31.87
7.0,1.85,-31.88
7.0,1.86,-31.88
7.0,1.87,-31.87
7.0,1.8800000000000001,-31.86
7.0,1.8900000000000001,-31.85
7.0,1.9000000000000001,-31.86
7.0,1.9100000000000001,-31.86
7.0,1.9200000000000002,-31.83
7.0,1.93,-31.77
7.0,1.94,-31.76
7.0,1.95,-31.74
7.0,1.96,-31.71
7.0,1.97,-31.69
7.0,1.98,-31.67
7.0,1.99,-31.65
7.0,2.0,-31.63
7.0,2.01,-31.61
7.0,2.02,-31.61
7.0,2.03,-31.6
7.0,2.04,-31.6
7.0,2.05,-31.6
7.0,2.0599999999999996,-31.6
7.0,2.07,-31.58
7.0,2.0799999999999996,-31.57
7.0,2.09,-31.56
7.0,2.0999999999999996,-31.58
7.0,2.11,-31.61
7.0,2.1199999999999997,-31.63
7.0,2.13,-31.64
7.0,2.1399999999999997,-31.64
7.0,2.15,-31.66
7.0,2.1599999999999997,-31.66
7.0,2.17,-31.65
7.0,2.1799999999999997,-31.65
7.0,2.19,-31.64
