c_setting,epsilon_setting,cv_scores
15.0,0.1,-31.38
15.0,0.11,-31.38
15.0,0.12,-31.38
15.0,0.13,-31.39
15.0,0.13999999999999999,-31.43
15.0,0.14999999999999997,-31.42
15.0,0.15999999999999998,-31.45
15.0,0.16999999999999998,-31.49
15.0,0.17999999999999997,-31.51
15.0,0.18999999999999995,-31.51
15.0,0.19999999999999996,-31.53
15.0,0.20999999999999996,-31.53
15.0,0.21999999999999995,-31.53
15.0,0.22999999999999995,-31.54
15.0,0.23999999999999994,-31.52
15.0,0.24999999999999992,-31.51
15.0,0.2599999999999999,-31.52
15.0,0.2699999999999999,-31.49
15.0,0.2799999999999999,-31.53
15.0,0.2899999999999999,-31.53
15.0,0.29999999999999993,-31.56
15.0,0.30999999999999994,-31.58
15.0,0.3199999999999999,-31.61
15.0,0.32999999999999985,-31.65
15.0,0.33999999999999986,-31.67
15.0,0.34999999999999987,-31.73
15.0,0.3599999999999999,-31.76
15.0,0.3699999999999999,-31.77
15.0,0.3799999999999999,-31.77
15.0,0.3899999999999999,-31.78
15.0,0.3999999999999998,-31.81
15.0,0.4099999999999998,-31.83
15.0,0.4199999999999998,-31.84
15.0,0.4299999999999998,-31.86
15.0,0.43999999999999984,-31.84
15.0,0.44999999999999984,-31.82
15.0,0.45999999999999985,-31.81
15.0,0.46999999999999986,-31.82
15.0,0.47999999999999976,-31.86
15.0,0.48999999999999977,-31.8
15.0,0.4999999999999998,-31.75
15.0,0.5099999999999998,-31.75
15.0,0.5199999999999998,-31.77
15.0,0.5299999999999998,-31.83
15.0,0.5399999999999998,-31.82
15.0,0.5499999999999998,-31.76
15.0,0.5599999999999997,-31.74
15.0,0.5699999999999997,-31.76
15.0,0.5799999999999997,-31.76
15.0,0.5899999999999997,-31.76
15.0,0.5999999999999998,-31.77
15.0,0.6099999999999998,-31.77
15.0,0.6199999999999998,-31.77
15.0,0.6299999999999997,-31.74
15.0,0.6399999999999997,-31.73
15.0,0.6499999999999997,-31.75
15.0,0.6599999999999997,-31.75
15.0,0.6699999999999997,-31.72
15.0,0.6799999999999997,-31.72
15.0,0.6899999999999997,-31.7
15.0,0.6999999999999996,-31.69
15.0,0.7099999999999996,-31.67
15.0,0.7199999999999996,-31.66
15.0,0.7299999999999996,-31.65
15.0,0.7399999999999997,-31.66
15.0,0.7499999999999997,-31.67
15.0,0.7599999999999997,-31.7
15.0,0.7699999999999997,-31.71
15.0,0.7799999999999997,-31.7
15.0,0.7899999999999996,-31.69
15.0,0.7999999999999996,-31.67
15.0,0.8099999999999996,-31.66
15.0,0.8199999999999996,-31.66
15.0,0.8299999999999996,-31.65
15.0,0.8399999999999996,-31.65
15.0,0.8499999999999996,-31.64
15.0,0.8599999999999995,-31.62
15.0,0.8699999999999996,-31.6
15.0,0.8799999999999996,-31.62
15.0,0.8899999999999996,-31.62
15.0,0.8999999999999996,-31.61
15.0,0.9099999999999996,-31.59
15.0,0.9199999999999996,-31.59
15.0,0.9299999999999996,-31.59
15.0,0.9399999999999996,-31.6
15.0,0.9499999999999995,-31.61
15.0,0.9599999999999995,-31.61
15.0,0.9699999999999995,-31.62
15.0,0.9799999999999995,-31.64
15.0,0.9899999999999995,-31.64
15.0,0.9999999999999996,-31.65
15.0,1.0099999999999996,-31.65
15.0,1.0199999999999996,-31.61
15.0,1.0299999999999996,-31.61
15.0,1.0399999999999996,-31.62
15.0,1.0499999999999996,-31.62
15.0,1.0599999999999996,-31.62
15.0,1.0699999999999996,-31.64
15.0,1.0799999999999996,-31.64
15.0,1.0899999999999996,-31.63
15.0,1.0999999999999996,-31.61
15.0,1.1099999999999997,-31.58
15.0,1.1199999999999997,-31.55
15.0,1.1299999999999997,-31.54
15.0,1.1399999999999997,-31.57
15.0,1.1499999999999995,-31.59
15.0,1.1599999999999995,-31.61
15.0,1.1699999999999995,-31.59
15.0,1.1799999999999995,-31.58
15.0,1.1899999999999995,-31.56
15.0,1.1999999999999995,-31.56
15.0,1.2099999999999995,-31.55
15.0,1.2199999999999995,-31.53
15.0,1.2299999999999995,-31.53
15.0,1.2399999999999995,-31.52
15.0,1.2499999999999996,-31.5
15.0,1.2599999999999996,-31.49
15.0,1.2699999999999996,-31.48
15.0,1.2799999999999996,-31.5
15.0,1.2899999999999996,-31.5
15.0,1.2999999999999994,-31.46
15.0,1.3099999999999994,-31.44
15.0,1.3199999999999994,-31.41
15.0,1.3299999999999994,-31.38
15.0,1.3399999999999994,-31.36
15.0,1.3499999999999994,-31.35
15.0,1.3599999999999994,-31.34
15.0,1.3699999999999994,-31.34
15.0,1.3799999999999994,-31.32
15.0,1.3899999999999995,-31.31
15.0,1.3999999999999995,-31.32
15.0,1.4099999999999995,-31.33
15.0,1.4199999999999995,-31.34
15.0,1.4299999999999995,-31.34
15.0,1.4399999999999995,-31.34
15.0,1.4499999999999995,-31.34
15.0,1.4599999999999995,-31.33
15.0,1.4699999999999993,-31.31
15.0,1.4799999999999993,-31.31
15.0,1.4899999999999993,-31.3
15.0,1.4999999999999993,-31.3
15.0,1.5099999999999993,-31.31
15.0,1.5199999999999994,-31.3
15.0,1.5299999999999994,-31.29
15.0,1.5399999999999994,-31.3
15.0,1.5499999999999994,-31.3
15.0,1.5599999999999994,-31.3
15.0,1.5699999999999994,-31.29
15.0,1.5799999999999994,-31.29
15.0,1.5899999999999994,-31.28
15.0,1.5999999999999994,-31.28
15.0,1.6099999999999994,-31.28
15.0,1.6199999999999992,-31.28
15.0,1.6299999999999992,-31.28
15.0,1.6399999999999992,-31.27
15.0,1.6499999999999992,-31.26
15.0,1.6599999999999993,-31.24
15.0,1.6699999999999993,-31.23
15.0,1.6799999999999993,-31.22
15.0,1.6899999999999993,-31.21
15.0,1.6999999999999993,-31.21
15.0,1.7099999999999993,-31.21
15.0,1.7199999999999993,-31.22
15.0,1.7299999999999993,-31.22
15.0,1.7399999999999993,-31.21
15.0,1.7499999999999993,-31.2
15.0,1.7599999999999993,-31.2
15.0,1.7699999999999994,-31.19
15.0,1.7799999999999994,-31.19
15.0,1.7899999999999991,-31.2
15.0,1.7999999999999992,-31.19
15.0,1.8099999999999992,-31.18
15.0,1.8199999999999992,-31.19
15.0,1.8299999999999992,-31.19
15.0,1.8399999999999992,-31.2
15.0,1.8499999999999992,-31.19
15.0,1.8599999999999992,-31.19
15.0,1.8699999999999992,-31.19
15.0,1.8799999999999992,-31.19
15.0,1.8899999999999992,-31.18
15.0,1.8999999999999992,-31.15
15.0,1.9099999999999993,-31.13
15.0,1.9199999999999993,-31.11
15.0,1.9299999999999993,-31.09
15.0,1.939999999999999,-31.08
15.0,1.949999999999999,-31.07
15.0,1.959999999999999,-31.06
15.0,1.969999999999999,-31.05
15.0,1.979999999999999,-31.04
15.0,1.989999999999999,-31.02
15.0,1.9999999999999991,-31.04
15.0,2.009999999999999,-31.06
15.0,2.019999999999999,-31.05
15.0,2.029999999999999,-31.06
15.0,2.039999999999999,-31.07
15.0,2.049999999999999,-31.06
15.0,2.059999999999999,-31.06
15.0,2.069999999999999,-31.07
15.0,2.079999999999999,-31.08
15.0,2.089999999999999,-31.08
15.0,2.099999999999999,-31.08
15.0,2.109999999999999,-31.08
15.0,2.119999999999999,-31.08
15.0,2.129999999999999,-31.07
15.0,2.1399999999999992,-31.05
15.0,2.149999999999999,-31.04
15.0,2.1599999999999993,-31.02
15.0,2.169999999999999,-30.99
15.0,2.1799999999999993,-30.98
15.0,2.189999999999999,-30.96
15.0,2.199999999999999,-30.95
15.0,2.209999999999999,-30.95
15.0,2.219999999999999,-30.97
15.0,2.229999999999999,-30.98
15.0,2.239999999999999,-30.99
15.0,2.249999999999999,-30.98
15.0,2.259999999999999,-30.97
15.0,2.269999999999999,-30.97
15.0,2.279999999999999,-30.96
15.0,2.289999999999999,-30.91
15.0,2.299999999999999,-30.88
15.0,2.309999999999999,-30.87
15.0,2.319999999999999,-30.87
15.0,2.329999999999999,-30.88
15.0,2.339999999999999,-30.88
15.0,2.3499999999999988,-30.92
15.0,2.359999999999999,-30.92
15.0,2.3699999999999988,-30.91
15.0,2.379999999999999,-30.92
15.0,2.389999999999999,-30.94
15.0,2.399999999999999,-30.93
15.0,2.409999999999999,-30.91
15.0,2.419999999999999,-30.9
15.0,2.429999999999999,-30.89
15.0,2.439999999999999,-30.89
15.0,2.449999999999999,-30.89
15.0,2.459999999999999,-30.9
15.0,2.469999999999999,-30.89
15.0,2.479999999999999,-30.88
15.0,2.489999999999999,-30.88
15.0,2.4999999999999987,-30.88
15.0,2.509999999999999,-30.86
15.0,2.5199999999999987,-30.86
15.0,2.529999999999999,-30.86
15.0,2.5399999999999987,-30.84
15.0,2.549999999999999,-30.81
15.0,2.5599999999999987,-30.82
15.0,2.569999999999999,-30.83
15.0,2.5799999999999987,-30.83
15.0,2.589999999999999,-30.82
15.0,2.5999999999999988,-30.81
15.0,2.609999999999999,-30.8
15.0,2.6199999999999988,-30.8
15.0,2.629999999999999,-30.8
15.0,2.639999999999999,-30.8
15.0,2.649999999999999,-30.8
15.0,2.659999999999999,-30.79
15.0,2.6699999999999986,-30.76
15.0,2.679999999999999,-30.75
15.0,2.6899999999999986,-30.73
15.0,2.699999999999999,-30.71
15.0,2.7099999999999986,-30.7
15.0,2.719999999999999,-30.7
15.0,2.7299999999999986,-30.69
15.0,2.739999999999999,-30.7
15.0,2.7499999999999987,-30.68
15.0,2.759999999999999,-30.68
15.0,2.7699999999999987,-30.68
15.0,2.779999999999999,-30.68
15.0,2.7899999999999987,-30.68
15.0,2.799999999999999,-30.67
15.0,2.8099999999999987,-30.66
15.0,2.819999999999999,-30.65
15.0,2.8299999999999987,-30.66
15.0,2.8399999999999985,-30.67
